package,tracking_number,management_status,management_status_id,loaded_at
3711625,955438051,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711623,955438053,status_asked,1,2021-07-20 13:25:44.542715+00:00
3663812,712385914380,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711352,712392985216,status_asked,1,2021-07-20 13:25:44.542715+00:00
3720143,712394959080,status_asked,1,2021-07-20 13:25:44.542715+00:00
3715423,712394525463,status_asked,1,2021-07-20 13:25:44.542715+00:00
3716662,712394595124,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711839,712393083415,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711618,955438048,status_asked,1,2021-07-20 13:25:44.542715+00:00
3723902,712395428743,status_asked,1,2021-07-20 13:25:44.542715+00:00
3720593,712395006352,status_asked,1,2021-07-20 13:25:44.542715+00:00
3715620,955484866,status_asked,1,2021-07-20 13:25:44.542715+00:00
3723651,712395416106,status_asked,1,2021-07-20 13:25:44.542715+00:00
3719030,712394778410,status_asked,1,2021-07-20 13:25:44.542715+00:00
3718821,712394750270,status_asked,1,2021-07-20 13:25:44.542715+00:00
3713489,712394066812,status_asked,1,2021-07-20 13:25:44.542715+00:00
3679316,712387932071,status_asked,1,2021-07-20 13:25:44.542715+00:00
3718226,712394689904,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711636,712393034242,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734375,712396771236,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732537,712396510276,status_asked,1,2021-07-20 13:25:44.542715+00:00
3724443,712395486596,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732551,712396510372,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732541,712396510313,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732767,712396570421,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734447,712396771995,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732550,712396510350,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735226,712396794281,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732538,712396510291,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732536,712396510280,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732511,712396510162,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727985,712396073056,status_asked,1,2021-07-20 13:25:44.542715+00:00
3731063,712396328836,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727318,712395853201,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734378,712396771284,status_asked,1,2021-07-20 13:25:44.542715+00:00
3729238,712396141240,status_asked,1,2021-07-20 13:25:44.542715+00:00
3711779,712394369400,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732546,712396510335,status_asked,1,2021-07-20 13:25:44.542715+00:00
3735427,712396801966,status_asked,1,2021-07-20 13:25:44.542715+00:00
3659552,712385413434,status_asked,1,2021-07-20 13:25:44.542715+00:00
3736181,712396872504,status_asked,1,2021-07-20 13:25:44.542715+00:00
3724271,712395482525,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727568,712396041442,status_asked,1,2021-07-20 13:25:44.542715+00:00
3727094,712395794913,status_asked,1,2021-07-20 13:25:44.542715+00:00
3729279,712396143071,status_asked,1,2021-07-20 13:25:44.542715+00:00
3728168,712396084282,status_asked,1,2021-07-20 13:25:44.542715+00:00
3729497,712396145543,status_asked,1,2021-07-20 13:25:44.542715+00:00
3728391,712396097486,status_asked,1,2021-07-20 13:25:44.542715+00:00
3730026,712396184942,status_asked,1,2021-07-20 13:25:44.542715+00:00
3732531,712396510232,status_asked,1,2021-07-20 13:25:44.542715+00:00
3734377,712396771251,status_asked,1,2021-07-20 13:25:44.542715+00:00
3733241,712396718003,status_asked,1,2021-07-20 13:25:44.542715+00:00
3736227,712396872924,status_asked,1,2021-07-20 13:25:44.542715+00:00
