name,code
Teno,3360000
Teodoro Schmidt,4990000
Tierra Amarilla,1580000
Til til,9420000
Timaukel,6320000
Tirúa,4410000
Tocopilla,1340000
Toltén,4980000
Tomé,4160000
Tortel,6120000
Traiguén,4730000
Treguaco,3980000
Tucapel,4480000
Valdivia,5090000
Vallenar,1610000
Valparaíso,2340000
Vichuquén,3420000
Victoria,4720000
Vicuña,1760000
Vilcún,4880000
Villa Alegre,3650000
Villa Alemana,6500000
Villarrica,4930000
Viña del Mar,2520000
Vitacura,7630000
Yerbas Buenas,3600000
Yumbel,4580000
Yungay,3920000
Zapallar,2060000
